subject,n_components_percentage,n_components,epsilon,reconstruction_error_mse,reconstruction_error_mae,reconstruction_error_rmse,ssim,psnr,pca_time,projection_time,noise_addition_time,reconstruction_time
3,0.5,6,10.0,0.04569734184561282,0.08725450534882331,0.18833089647484216,0.6552568696665373,19.26068845442798,0.00717840000288561,0.00039739999920129776,1.37000170070678e-05,4.104000399820507e-05
3,0.5,6,20.0,0.04528691381596455,0.08594276155537828,0.18682750460372494,0.6581276007731456,20.259458524632464,0.00717840000288561,0.00039739999920129776,6.999995093792677e-06,4.125999985262752e-05
3,0.5,6,40.0,0.04519764122329243,0.0854863192628451,0.1866162129626372,0.6584297323252832,20.385381021325113,0.00717840000288561,0.00039739999920129776,7.299997378140688e-06,4.150000750087201e-05
3,0.5,6,80.0,0.04511927989547189,0.08522764782654708,0.1864421253015717,0.6588558067922604,20.462617906387912,0.00717840000288561,0.00039739999920129776,8.90000956133008e-06,4.165999125689268e-05
3,0.5,6,160.0,0.045115475092619775,0.08524524533953724,0.18642253714307333,0.6588641409649121,20.475141191152886,0.00717840000288561,0.00039739999920129776,6.700021913275123e-06,4.103999817743898e-05
4,0.5,6,0.001,6686.378177785361,38.727632660689615,61.56142351852893,0.041748086571627645,-32.2085099851933,0.007060799980536103,0.00040940000326372683,1.6000005416572094e-05,4.450000124052167e-05
4,0.5,6,0.01,12.163819078427242,2.1081667388638223,3.191332094610392,0.06185011834858496,-9.4167623861432,0.007060799980536103,0.00040940000326372683,1.0500021744519472e-05,5.1719992188736794e-05
4,0.5,6,0.1,0.13465917199341346,0.22422394783566016,0.34671321379237285,0.4589127013125095,9.747956690982301,0.007060799980536103,0.00040940000326372683,2.5599991204217076e-05,5.3060002392157914e-05
4,0.5,6,1.0,0.009739161290127602,0.0502074280610875,0.09264108857588686,0.7938722993580082,21.36128264041701,0.007060799980536103,0.00040940000326372683,1.3900018529966474e-05,5.2840006537735464e-05
4,0.5,6,5.0,0.009374946345738006,0.04070407961742669,0.08940705255307585,0.7905242472983453,21.87406327059415,0.007060799980536103,0.00040940000326372683,1.4199991710484028e-05,4.248000332154334e-05
4,0.5,6,10.0,0.009483550118159881,0.04006266431723794,0.08928932636256097,0.7898371423111797,21.945216018971877,0.007060799980536103,0.00040940000326372683,1.379998866468668e-05,4.296000115573406e-05
